,DATETIMEDATA,PM25,TEMP,WS,RH,WD,RAIN
0,2024-01-01 00:00:00,16.5,27,1,79,115,0
1,2024-01-01 01:00:00,33.6,27,1,82,97,0
2,2024-01-01 02:00:00,34.2,26,1,84,96,0
3,2024-01-01 03:00:00,20.1,26,1,82,108,0
4,2024-01-01 04:00:00,16.5,27,1,79,106,0
5,2024-01-01 05:00:00,15.4,26,1,82,108,0
6,2024-01-01 06:00:00,15.7,26,1,82,109,0
7,2024-01-01 07:00:00,18.1,27,1,79,114,0
8,2024-01-01 08:00:00,19.5,28,1,72,110,0
9,2024-01-01 09:00:00,17.5,29,1,68,120,0
10,2024-01-01 10:00:00,16.4,30,1,65,151,0
11,2024-01-01 11:00:00,15.8,31,1,60,177,0
12,2024-01-01 12:00:00,16.7,32,1,57,174,0
13,2024-01-01 13:00:00,14.8,32,1,53,157,0
14,2024-01-01 14:00:00,13.4,32,1,50,144,0
15,2024-01-01 15:00:00,10.4,32,1,52,151,0
16,2024-01-01 16:00:00,11.4,31,1,56,146,0
17,2024-01-01 17:00:00,12.7,30,2,62,128,0
18,2024-01-01 18:00:00,13.9,29,1,71,148,0
19,2024-01-01 19:00:00,14.5,28,1,75,149,0
20,2024-01-01 20:00:00,13.1,28,1,76,121,0
21,2024-01-01 21:00:00,15.2,28,1,76,116,0
22,2024-01-01 22:00:00,16.9,28,1,78,116,0
23,2024-01-01 23:00:00,15.2,28,1,79,117,0
24,2024-01-02 00:00:00,12.4,27,2,79,120,0
25,2024-01-02 01:00:00,11.8,27,1,80,114,0
26,2024-01-02 02:00:00,12.5,26,0,85,106,0
27,2024-01-02 03:00:00,13.5,26,0,89,105,0
28,2024-01-02 04:00:00,14.9,25,1,91,107,0
29,2024-01-02 05:00:00,12.6,25,0,93,103,0
30,2024-01-02 06:00:00,15.2,25,0,92,105,0
31,2024-01-02 07:00:00,19.3,26,1,88,106,0
32,2024-01-02 08:00:00,18.7,29,1,72,118,0
33,2024-01-02 09:00:00,17.2,30,2,66,129,0
34,2024-01-02 10:00:00,11.7,31,1,59,132,0
35,2024-01-02 11:00:00,12.5,31,1,55,193,0
36,2024-01-02 12:00:00,11.3,32,1,55,146,0
37,2024-01-02 13:00:00,11.1,32,1,53,203,0
38,2024-01-02 14:00:00,12.0,32,1,54,173,0
39,2024-01-02 15:00:00,9.9,31,1,56,178,0
40,2024-01-02 16:00:00,9.3,31,1,57,171,0
41,2024-01-02 17:00:00,9.9,29,1,65,180,0
42,2024-01-02 18:00:00,10.8,28,1,71,138,0
43,2024-01-02 19:00:00,16.5,28,1,73,134,0
44,2024-01-02 20:00:00,13.1,28,1,74,126,0
45,2024-01-02 21:00:00,15.3,28,1,76,111,0
46,2024-01-02 22:00:00,14.3,27,1,77,111,0
47,2024-01-02 23:00:00,12.6,27,1,77,113,0
48,2024-01-03 00:00:00,9.9,27,1,80,109,0
49,2024-01-03 01:00:00,10.8,26,0,83,105,0
