,DATETIMEDATA,PM25
0,2024-01-01 00:00:00,16.5
1,2024-01-01 01:00:00,33.6
2,2024-01-01 02:00:00,34.2
3,2024-01-01 03:00:00,20.1
4,2024-01-01 04:00:00,16.5
5,2024-01-01 05:00:00,15.4
6,2024-01-01 06:00:00,15.7
7,2024-01-01 07:00:00,18.1
8,2024-01-01 08:00:00,19.5
9,2024-01-01 09:00:00,17.5
10,2024-01-01 10:00:00,16.4
11,2024-01-01 11:00:00,15.8
12,2024-01-01 12:00:00,16.7
13,2024-01-01 13:00:00,14.8
14,2024-01-01 14:00:00,13.4
15,2024-01-01 15:00:00,10.4
16,2024-01-01 16:00:00,11.4
17,2024-01-01 17:00:00,12.7
18,2024-01-01 18:00:00,13.9
19,2024-01-01 19:00:00,14.5
20,2024-01-01 20:00:00,13.1
21,2024-01-01 21:00:00,15.2
22,2024-01-01 22:00:00,16.9
23,2024-01-01 23:00:00,15.2
24,2024-01-02 00:00:00,12.4
25,2024-01-02 01:00:00,11.8
26,2024-01-02 02:00:00,12.5
27,2024-01-02 03:00:00,13.5
28,2024-01-02 04:00:00,14.9
29,2024-01-02 05:00:00,12.6
30,2024-01-02 06:00:00,15.2
31,2024-01-02 07:00:00,19.3
32,2024-01-02 08:00:00,18.7
33,2024-01-02 09:00:00,17.2
34,2024-01-02 10:00:00,11.7
35,2024-01-02 11:00:00,12.5
36,2024-01-02 12:00:00,11.3
37,2024-01-02 13:00:00,11.1
38,2024-01-02 14:00:00,12.0
39,2024-01-02 15:00:00,9.9
40,2024-01-02 16:00:00,9.3
41,2024-01-02 17:00:00,9.9
42,2024-01-02 18:00:00,10.8
43,2024-01-02 19:00:00,16.5
44,2024-01-02 20:00:00,13.1
45,2024-01-02 21:00:00,15.3
46,2024-01-02 22:00:00,14.3
47,2024-01-02 23:00:00,12.6
48,2024-01-03 00:00:00,9.9
49,2024-01-03 01:00:00,10.8
50,2024-01-03 02:00:00,14.8
51,2024-01-03 03:00:00,13.1
52,2024-01-03 04:00:00,21.1
53,2024-01-03 05:00:00,13.6
54,2024-01-03 06:00:00,14.5
55,2024-01-03 07:00:00,17.0
56,2024-01-03 08:00:00,21.3
57,2024-01-03 09:00:00,17.4
58,2024-01-03 10:00:00,18.2
59,2024-01-03 11:00:00,19.2
60,2024-01-03 12:00:00,11.4
61,2024-01-03 13:00:00,15.1
62,2024-01-03 14:00:00,14.8
63,2024-01-03 15:00:00,15.2
64,2024-01-03 16:00:00,16.6
65,2024-01-03 17:00:00,16.7
66,2024-01-03 18:00:00,15.6
67,2024-01-03 19:00:00,20.4
68,2024-01-03 20:00:00,15.4
69,2024-01-03 21:00:00,14.0
70,2024-01-03 22:00:00,13.6
71,2024-01-03 23:00:00,11.8
72,2024-01-04 00:00:00,11.1
73,2024-01-04 01:00:00,11.8
74,2024-01-04 02:00:00,12.8
75,2024-01-04 03:00:00,15.3
76,2024-01-04 04:00:00,12.9
77,2024-01-04 05:00:00,17.0
78,2024-01-04 06:00:00,15.1
79,2024-01-04 07:00:00,15.7
80,2024-01-04 08:00:00,16.4
81,2024-01-04 09:00:00,21.5
82,2024-01-04 10:00:00,20.5
83,2024-01-04 11:00:00,16.4
84,2024-01-04 12:00:00,14.5
85,2024-01-04 13:00:00,15.4
86,2024-01-04 14:00:00,13.4
87,2024-01-04 15:00:00,17.1
88,2024-01-04 16:00:00,14.6
89,2024-01-04 17:00:00,19.7
90,2024-01-04 18:00:00,19.7
91,2024-01-04 19:00:00,20.9
92,2024-01-04 20:00:00,21.1
93,2024-01-04 21:00:00,23.1
94,2024-01-04 22:00:00,27.6
95,2024-01-04 23:00:00,19.9
96,2024-01-05 00:00:00,17.5
97,2024-01-05 01:00:00,18.4
98,2024-01-05 02:00:00,17.0
99,2024-01-05 03:00:00,17.4
100,2024-01-05 04:00:00,18.9
101,2024-01-05 05:00:00,14.6
102,2024-01-05 06:00:00,13.8
103,2024-01-05 07:00:00,19.9
104,2024-01-05 08:00:00,20.1
105,2024-01-05 09:00:00,19.0
106,2024-01-05 10:00:00,18.5
107,2024-01-05 11:00:00,21.3
108,2024-01-05 12:00:00,17.6
109,2024-01-05 13:00:00,15.3
110,2024-01-05 14:00:00,12.4
111,2024-01-05 15:00:00,13.1
112,2024-01-05 16:00:00,11.6
113,2024-01-05 17:00:00,18.0
114,2024-01-05 18:00:00,19.2
115,2024-01-05 19:00:00,19.4
116,2024-01-05 20:00:00,22.4
117,2024-01-05 21:00:00,20.4
118,2024-01-05 22:00:00,21.6
119,2024-01-05 23:00:00,17.1
120,2024-01-06 00:00:00,18.6
121,2024-01-06 01:00:00,19.9
122,2024-01-06 02:00:00,20.1
123,2024-01-06 03:00:00,22.7
124,2024-01-06 04:00:00,20.6
125,2024-01-06 05:00:00,20.6
126,2024-01-06 06:00:00,20.0
127,2024-01-06 07:00:00,23.2
128,2024-01-06 08:00:00,24.0
129,2024-01-06 09:00:00,23.8
130,2024-01-06 10:00:00,28.7
131,2024-01-06 11:00:00,30.5
132,2024-01-06 12:00:00,20.2
133,2024-01-06 13:00:00,21.1
134,2024-01-06 14:00:00,18.8
135,2024-01-06 15:00:00,22.4
136,2024-01-06 16:00:00,20.7
137,2024-01-06 17:00:00,17.8
138,2024-01-06 18:00:00,16.7
139,2024-01-06 19:00:00,17.8
140,2024-01-06 20:00:00,20.7
141,2024-01-06 21:00:00,15.9
142,2024-01-06 22:00:00,13.8
143,2024-01-06 23:00:00,17.2
144,2024-01-07 00:00:00,19.2
145,2024-01-07 01:00:00,20.9
146,2024-01-07 02:00:00,19.3
147,2024-01-07 03:00:00,13.7
148,2024-01-07 04:00:00,11.8
149,2024-01-07 05:00:00,14.1
150,2024-01-07 06:00:00,13.1
151,2024-01-07 07:00:00,16.6
152,2024-01-07 08:00:00,17.2
153,2024-01-07 09:00:00,18.2
154,2024-01-07 10:00:00,16.4
155,2024-01-07 11:00:00,19.1
156,2024-01-07 12:00:00,16.8
157,2024-01-07 13:00:00,17.7
158,2024-01-07 14:00:00,21.3
159,2024-01-07 15:00:00,19.6
160,2024-01-07 16:00:00,16.7
161,2024-01-07 17:00:00,16.3
162,2024-01-07 18:00:00,15.9
163,2024-01-07 19:00:00,20.7
164,2024-01-07 20:00:00,14.0
165,2024-01-07 21:00:00,13.5
166,2024-01-07 22:00:00,15.7
167,2024-01-07 23:00:00,11.9
